                  F1,      70,00,3B,00,55, 0,5E, 0,68,N,*
                  F2,      71,00,3C,00,55, 0,5F, 0,69,N,*
                  F3,      72,00,3D,00,56, 0,60, 0,6A,N,*
                  F4,      73,00,3E,00,57, 0,61, 0,6B,N,*
                  F5,      74,00,3F,00,58, 0,62, 0,6C,N,*
                  F6,      75,00,40,00,59, 0,63, 0,6D,N,*
                  F7,      76,00,41,00,5A, 0,64, 0,6E,N,*
                  F8,      77,00,42,00,5B, 0,65, 0,6F,N,*
                  F9,      78,00,43,00,5C, 0,66, 0,70,N,*
                 F10,      79,00,44,00,5D, 0,67, 0,71,N,*
                 F11,      7A,00,45,00,87, 0,89, 0,8B,N,*
                 F12,      7B,00,86,00,88, 0,8A, 0,8C,N,*
                   A,      41,61,1E,41,32,01,1E,00,1E,N,*
                   B,      42,62,30,42,32,02,30,00,30,N,*
                   C,      43,63,2E,43,32,03,2E,00,2E,N,*
                   D,      44,64,20,44,32,04,20,00,20,N,*
                   E,      45,65,12,45,32,05,12,00,12,N,*
                   F,      46,66,21,46,32,06,21,00,21,N,*
                   G,      47,67,32,47,32,07,22,00,22,N,*
                   H,      48,68,32,48,32,08,23,00,23,N,*
                   I,      49,69,32,49,32,09,17,00,17,N,*
                   J,      4A,6A,32,4A,32,0A,24,00,24,N,*
                   K,      4B,6B,32,4B,32,0B,25,00,25,N,*
                   L,      4C,6C,32,4C,32,0C,26,00,26,N,*
                   M,      4D,6D,32,4D,32,0D,32,00,32,N,*
                   N,      4E,6E,32,4E,32,0E,31,00,31,N,*
                   O,      4F,6F,32,4F,32,0F,18,00,18,N,*
                   P,      50,70,32,50,32,10,19,00,19,N,*
                   Q,      51,71,32,51,32,11,10,00,10,N,*
                   R,      52,72,32,52,32,12,13,00,13,N,*
                   S,      53,73,32,53,32,13,1F,00,1F,N,*
                   T,      54,74,32,54,32,14,14,00,14,N,*
                   U,      55,75,32,55,32,15,16,00,16,N,*
                   V,      56,76,32,56,32,16,2F,00,2F,N,*
                   W,      57,77,32,57,32,17,11,00,11,N,*
                   X,      58,78,32,58,32,18,2D,00,2D,N,*
                   Y,      59,79,32,59,32,19,15,00,15,N,*
                   Z,      5A,7A,32,5A,32,1A,2C,00,2c,N,*
             NumPad0,      60,30,52,60,32, 0, 0, 0, 0,N
             NumPad1,      61,31,4F,61,32, 0, 0, 0, 0,N
             NumPad2,      62,32,50,62,32, 0, 0, 0, 0,N
             NumPad3,      63,33,51,63,32, 0, 0, 0, 0,N
             NumPad4,      64,34,4B,64,32, 0, 0, 0, 0,N
             NumPad5,      65,35,4C,65,32, 0, 0, 0, 0,N
             NumPad6,      66,36,4D,66,32, 0, 0, 0, 0,N
             NumPad7,      67,37,47,67,32, 0, 0, 0, 0,N
             NumPad8,      68,38,48,68,32, 0, 0, 0, 0,N
